, (2), (3), (4), (5), (6), (7), (8), (9),(10),(11),(12), (1)
 (1),9.75,14.5,13.0,12.5,10.67,12.25,11.0,15.75,17.0,14.75,15.75,
 (2),,13.5,7.0,14.5,13.0,8.67,12.0,12.5,16.5,15.75,16.0,15.25
 (3),11.75,,16.0,11.33,8.75,12.5,16.0,13.0,15.5,14.5,16.0,11.5
 (4),15.75,12.25,,14.0,13.0,14.33,13.5,14.5,16.25,8.33,16.0,14.33
 (5),14.75,11.67,13.67,,16.33,16.0,15.67,11.0,16.0,16.0,15.75,9.25
 (6),13.75,16.25,8.33,10.0,,15.75,12.75,9.75,15.75,13.5,13.75,14.33
 (7),14.67,14.25,12.33,13.25,10.75,,16.75,10.5,16.67,13.0,14.0,15.25
 (8),14.75,10.0,12.75,15.67,13.25,13.75,,9.67,17.75,10.0,14.25,14.25
 (9),12.25,14.75,13.25,14.25,14.75,15.25,15.33,,15.5,12.5,16.0,14.75
(10),2.75,2.25,0.5,0.33,0.0,1.0,0.25,0.75,,0.0,0.25,0.0
(11),11.0,11.5,16.0,11.0,8.0,14.0,16.5,14.25,0.0,,14.0,11.25
(12),5.0,7.75,5.75,3.75,14.75,15.75,8.75,5.25,16.5,13.0,,9.0
